Source,Target,Type
n728,n736,Directed
n728,n810,Directed
n728,n779,Directed
n728,n756,Directed
n728,n802,Directed
n728,n766,Directed
n728,n777,Directed
n728,n734,Directed
n728,n783,Directed
n728,n792,Directed
n728,n812,Directed
n728,n775,Directed
n728,n808,Directed
n728,n370,Directed
n728,n749,Directed
n728,n799,Directed
n728,n773,Directed
n728,n798,Directed
n728,n743,Directed
n728,n801,Directed
n728,n789,Directed
n728,n60,Directed
n728,n494,Directed
n728,n6,Directed
n728,n787,Directed
n728,n764,Directed
n728,n769,Directed
n728,n816,Directed
n728,n730,Directed
n728,n742,Directed
n728,n796,Directed
n728,n767,Directed
n728,n771,Directed
n728,n790,Directed
n728,n793,Directed
n728,n805,Directed
n728,n795,Directed
n728,n744,Directed
n728,n770,Directed
n728,n739,Directed
n728,n820,Directed
n728,n822,Directed
n728,n755,Directed
n728,n819,Directed
n728,n791,Directed
n728,n746,Directed
n728,n785,Directed
n728,n804,Directed
n728,n784,Directed
n728,n41,Directed
n728,n762,Directed
n728,n821,Directed
n728,n772,Directed
n728,n159,Directed
n728,n731,Directed
n728,n152,Directed
n728,n105,Directed
n728,n732,Directed
n728,n754,Directed
n728,n778,Directed
n728,n748,Directed
n728,n782,Directed
n728,n800,Directed
n728,n774,Directed
n728,n729,Directed
n728,n735,Directed
n728,n794,Directed
n728,n723,Directed
n728,n809,Directed
n728,n745,Directed
n728,n776,Directed
n728,n813,Directed
n728,n768,Directed
n728,n738,Directed
n728,n758,Directed
n728,n740,Directed
n728,n760,Directed
n728,n765,Directed
n728,n788,Directed
n728,n753,Directed
n728,n74,Directed
n728,n752,Directed
n728,n818,Directed
n728,n8,Directed
n728,n763,Directed
n728,n814,Directed
n728,n817,Directed
n823,n832,Directed
n823,n837,Directed
n823,n871,Directed
n823,n879,Directed
n823,n862,Directed
n823,n868,Directed
n823,n838,Directed
n823,n85,Directed
n823,n4242,Directed
n823,n834,Directed
n823,n844,Directed
n823,n829,Directed
n823,n880,Directed
n823,n850,Directed
n823,n857,Directed
n823,n860,Directed
n823,n855,Directed
n823,n854,Directed
n823,n833,Directed
n823,n848,Directed
n823,n824,Directed
n823,n856,Directed
n823,n869,Directed
n823,n865,Directed
n823,n882,Directed
n823,n859,Directed
n823,n843,Directed
n823,n876,Directed
n823,n840,Directed
n823,n828,Directed
n823,n875,Directed
n823,n852,Directed
n823,n842,Directed
n823,n825,Directed
n823,n873,Directed
n823,n846,Directed
n823,n867,Directed
n823,n881,Directed
n823,n836,Directed
n823,n851,Directed
n823,n835,Directed
n823,n847,Directed
n823,n839,Directed
n823,n1072,Directed
n823,n877,Directed
n823,n845,Directed
n823,n826,Directed
n823,n878,Directed
n823,n872,Directed
n823,n874,Directed
n823,n849,Directed
n823,n870,Directed
n823,n864,Directed
n823,n827,Directed
n823,n861,Directed
n823,n866,Directed
n823,n830,Directed
n823,n831,Directed
n823,n841,Directed
n823,n853,Directed
n823,n858,Directed
n823,n863,Directed
n883,n904,Directed
n883,n924,Directed
n883,n943,Directed
n883,n887,Directed
n883,n914,Directed
n883,n909,Directed
n883,n910,Directed
n883,n931,Directed
n883,n5195,Directed
n883,n884,Directed
n883,n4242,Directed
n883,n942,Directed
n883,n900,Directed
n883,n888,Directed
n883,n929,Directed
n883,n886,Directed
n883,n899,Directed
n883,n946,Directed
n883,n892,Directed
n883,n895,Directed
n883,n930,Directed
n883,n907,Directed
n883,n901,Directed
n883,n944,Directed
n883,n898,Directed
n883,n934,Directed
n883,n927,Directed
n883,n936,Directed
n883,n940,Directed
n883,n947,Directed
n883,n939,Directed
n883,n162,Directed
n883,n918,Directed
n883,n920,Directed
n883,n906,Directed
n883,n938,Directed
n883,n885,Directed
n883,n893,Directed
n883,n46,Directed
n883,n933,Directed
n883,n902,Directed
n883,n897,Directed
n883,n908,Directed
n883,n928,Directed
n883,n889,Directed
n883,n890,Directed
n883,n922,Directed
n883,n926,Directed
n883,n935,Directed
n883,n937,Directed
n883,n921,Directed
n883,n915,Directed
n883,n896,Directed
n883,n919,Directed
n883,n932,Directed
n883,n894,Directed
n883,n912,Directed
n883,n917,Directed
n883,n945,Directed
n883,n891,Directed
n883,n923,Directed
n883,n941,Directed
n883,n911,Directed
n883,n176,Directed
n883,n903,Directed
n883,n925,Directed
n883,n913,Directed
n883,n916,Directed
n883,n905,Directed
n948,n949,Directed
n948,n958,Directed
n948,n961,Directed
n948,n973,Directed
n948,n957,Directed
n948,n974,Directed
n948,n994,Directed
n948,n955,Directed
n948,n966,Directed
n948,n986,Directed
n948,n983,Directed
n948,n990,Directed
n948,n965,Directed
n948,n978,Directed
n948,n993,Directed
n948,n959,Directed
n948,n982,Directed
n948,n985,Directed
n948,n971,Directed
n948,n951,Directed
n948,n956,Directed
n948,n989,Directed
n948,n995,Directed
n948,n969,Directed
n948,n980,Directed
n948,n984,Directed
n948,n992,Directed
n948,n950,Directed
n948,n975,Directed
n948,n970,Directed
n948,n991,Directed
n948,n988,Directed
n948,n968,Directed
n948,n972,Directed
n948,n964,Directed
n948,n952,Directed
n948,n953,Directed
n948,n976,Directed
n948,n977,Directed
n948,n981,Directed
n948,n954,Directed
n948,n967,Directed
n948,n960,Directed
n948,n962,Directed
n948,n979,Directed
n948,n963,Directed
n948,n987,Directed
n996,n1007,Directed
n996,n1001,Directed
n996,n1002,Directed
n996,n1015,Directed
n996,n1006,Directed
n996,n1028,Directed
n996,n1013,Directed
n996,n1005,Directed
n996,n1029,Directed
n996,n1018,Directed
n996,n1020,Directed
n996,n1026,Directed
n996,n1027,Directed
n996,n1008,Directed
n996,n1031,Directed
n996,n448,Directed
n996,n1016,Directed
n996,n1021,Directed
n996,n1004,Directed
n996,n1003,Directed
n996,n1010,Directed
n996,n76,Directed
